"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4727","test_default_tls","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"Checks Grafana dashboard is created with desired attributes.","3034","test_grafana","tests.integration","2026-09-22","passed","2026-09-22","","test_cos","",""
"","","test_deploy_active","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","","test_storage_integration_other_app","tests.integration","","unknown","","TestMicroceph","test_backup_aws","",""
"","","test_deploy","tests.integration","","unknown","","","test_restart","",""
"","7477","test_create_table","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","","test_kill_process","tests.integration","","unknown","","","test_restart","",""
"","","test_deploy_active","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","","test_lxc_restart_cluster","tests.integration","","unknown","","","test_restart","",""
"","","test_deploy_other_app_active","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","","test_remove_first_app","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","","test_freeze_process","tests.integration","","unknown","","","test_restart","",""
"","5370","test_bad_config","tests.integration","2026-09-22","passed","2026-09-22","","test_config","",""
"","","test_list_backups_succeeds_and_is_empty","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","","test_deploy_other_app_active","tests.integration","","unknown","","TestMicroceph","test_backup_aws","",""
"","","test_deploy_other_app_active","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","155539","test_connection_updated_on_tls_updated","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","4769","test_change_user_permissions","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","","test_storage_integration","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","","test_remove_first_app","tests.integration","","unknown","","TestMicroceph","test_backup_aws","",""
"","","test_storage_integration_other_app","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","","test_change_custom_secret","tests.integration","","unknown","","","test_authentication","",""
"","527295","test_scale_up_with_tls","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"","","test_list_backups_on_another_unit","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","773862","test_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_network","",""
"","","test_restore_integrity","tests.integration","","unknown","","TestMicroceph","test_backup_aws","",""
"","","test_remove_first_app","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","","test_deploy_bad_custom_secret","tests.integration","","unknown","","","test_authentication","",""
"","281108","test_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"","64927","test_deploy_bad_config","tests.integration","2026-09-22","passed","2026-09-22","","test_config","",""
"","","test_restore_backup_on_other_app","tests.integration","","unknown","","TestMicroceph","test_backup_aws","",""
"","185269","test_cos_monitoring_setup","tests.integration","2026-09-22","passed","2026-09-22","","test_cos","",""
"","","test_list_backups_succeeds_and_is_empty","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","","test_load_some_data","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","280209","test_deploy_cos","tests.integration","2026-09-22","passed","2026-09-22","","test_cos","",""
"","","test_list_backups_on_another_unit","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
"","710798","test_single_node_scale_down_scale_up","tests.integration","2026-09-22","passed","2026-09-22","","test_scaling","",""
"Verify that data written in one Cassandra cluster is not replicated to another.","17964","test_writes_not_replicated","tests.integration","2026-09-22","passed","2026-09-22","","test_multicluster","",""
"","411055","test_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_scaling","",""
"","126376","test_enable_client_self_signed_tls","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"","601301","test_connection_no_tls_on_tls_enabled","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","","test_list_backups_succeeds_and_is_empty","tests.integration","","unknown","","TestMicroceph","test_backup_aws","",""
"","602735","test_deploy_s3_integrator","tests.integration","2026-09-22","broken","2026-09-22","","test_backup_aws","",""
"","459567","test_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_multicluster","",""
"","527364","test_deploy_with_requirer","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","","test_update_custom_secret","tests.integration","","unknown","","","test_authentication","",""
"","236592","test_kill_primary","tests.integration","2026-09-22","passed","2026-09-22","","test_kill","",""
"","11803","test_write_read","tests.integration","2026-09-22","passed","2026-09-22","","test_charm","",""
"","156380","test_connection_updated_on_tls_disabled","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","","test_deploy_storage_integrator_and_test_connection","tests.integration","","unknown","","","test_backup_gcs","",""
"","211989","test_deploy_resolve_config","tests.integration","2026-09-22","passed","2026-09-22","","test_config","",""
"Checks alert rules are submitted and metrics are being sent to prometheus.","302919","test_metrics_and_alerts","tests.integration","2026-09-22","passed","2026-09-22","","test_cos","",""
"","147872","test_disable_client_self_signed_tls","tests.integration","2026-09-22","passed","2026-09-22","","test_tls","",""
"","192381","test_connection_updated_on_tls_enabled","tests.integration","2026-09-22","passed","2026-09-22","","test_provider","",""
"","","test_create_backup","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","559691","test_deploy","tests.integration","2026-09-22","passed","2026-09-22","","test_cos","",""
"","","test_run_actions_before_storage_integration_fails","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"","2143","test_seed_new_primary","tests.integration","2026-09-22","passed","2026-09-22","","test_kill","",""
"","","test_load_some_data","tests.integration","","unknown","","TestMicroceph","test_backup_microceph","",""
"Checks log streams are being pushed to loki.","3041","test_loki","tests.integration","2026-09-22","failed","2026-09-22","","test_cos","",""
"","","test_storage_integration","tests.integration","","unknown","","TestGCS","test_backup_gcs","",""
